config_id,method,n_success,runtime_ms_mean,runtime_ms_std,robustness_mean,robustness_std,satisfaction_rate
multiagent_button,svgd,100,8780.033123103203,43.30182728551118,0.1726279664039612,0.001248004984387338,1.0
multiagent_button,deterministic_pi,100,2441.0271568829194,5.3930724605291305,-1.7062785637378692,0.25137033251370483,0.0
multiagent_button,svgd_fd,100,4741.225804120768,35.02939030989374,0.14022386074066162,0.007455014832899025,1.0
multiagent_button,stl_gd,100,7477.889190549031,314.29223127567604,-1.5148176011443137,2.6670052281670893,0.71
multiagent_button,milp,1,1911735.4509830475,0.0,0.17410203678486535,0.0,1.0
multiagent_corridor_6_agents,svgd,100,4056.606222902192,42.59274515429265,0.14558720041066409,0.04213771183581033,1.0
multiagent_corridor_6_agents,deterministic_pi,100,5442.5613421574235,26.722048159462,-6.635573801994323,0.242929356347997,0.0
multiagent_corridor_6_agents,svgd_fd,100,11203.373650931753,16.63867124626145,-0.8824133271723986,0.9919183491984713,0.0
multiagent_corridor_6_agents,stl_gd,100,4742.453140907455,754.3594741651793,-7.544320540428162,2.2848498537786948,0.0
multiagent_corridor_6_agents,milp,1,11893885.561943054,0.0,0.0,0.0,0.0
multiagent_sync_goals,svgd,100,2715.284126875922,20.76626106940575,0.2332195347547531,0.02940454096049629,1.0
multiagent_sync_goals,deterministic_pi,100,1688.7694631353952,4.3465185978102765,-4.862923655509949,0.12959066406138503,0.0
multiagent_sync_goals,svgd_fd,100,1966.680945677217,8.534846537222363,-2.924234435558319,0.11838573399855677,0.0
multiagent_sync_goals,stl_gd,100,4343.891016684938,451.50559516661605,-2.3518668675422667,2.8961526541210842,0.49
multiagent_sync_goals,milp,1,3543758.111000061,0.0,0.04342976011560227,0.0,1.0
single_visit_goals_long_horizon,svgd,100,8289.80718611274,44.18277052130882,0.020127016794867815,0.04181047773669817,0.97
single_visit_goals_long_horizon,deterministic_pi,100,9920.202846582979,32.275863002497076,-1.9629213547706603,0.20449657105732694,0.0
single_visit_goals_long_horizon,svgd_fd,100,6091.817463185871,24.970588355592717,-0.167674151211977,0.06806287536003462,0.0
single_visit_goals_long_horizon,stl_gd,100,6628.101064581424,246.44462809631548,-2.1741656747460367,1.9994967958504184,0.0
single_visit_goals_long_horizon,milp,1,36006789.36004639,0.0,0.0,0.0,0.0
